,Confirmed,Date,Suspected,expforecast,polyforecast
0,41.0,2020-01-15,,27.251425496441996,82.00699300716977
1,50.0,2020-01-16,,52.20130769184236,47.51188811198524
2,58.0,2020-01-17,,86.01630017173608,48.93286713295862
3,136.0,2020-01-18,,131.84632483718605,86.26993007008988
4,196.0,2020-01-19,40.0,193.9605235046746,159.52307692337905
5,258.0,2020-01-20,127.0,278.14493545444196,268.69230769282615
6,475.0,2020-01-21,260.0,392.2414764605741,413.77762237843103
7,522.0,2020-01-22,330.0,546.8784260817437,594.7790209801939
8,680.0,2020-01-23,450.0,756.460469299469,811.6965034981147
9,1103.0,2020-01-24,1056.0,1040.5105165030852,1064.5300699321933
10,1412.0,2020-01-25,2058.0,1425.4882945494487,1353.2797202824297
11,,2020-01-26,,1947.2551136314203,1677.9454545488245
12,,2020-01-27,,2654.414407023501,2038.5272727313766
13,,2020-01-28,,3612.8392204500165,2435.0251748300866
